Order ID,Order Date,Customer Name,Product,Category,Quantity,Price,Sales,City,Payment Method
10042,2025-07-26,Customer_187,Smartphone,Electronics,1,25000,25000,Madurai,UPI
10043,2025-04-08,Customer_138,Keyboard,Accessories,2,1200,2400,Trichy,Cash
10044,2025-05-23,Customer_119,T-Shirt,Fashion,2,700,1400,Coimbatore,UPI
10045,2025-02-20,Customer_13,Backpack,Bags,5,1500,7500,Erode,UPI
10046,2025-03-27,Customer_105,Smartphone,Electronics,2,25000,50000,Trichy,Net Banking
10047,2025-01-31,Customer_43,Keyboard,Accessories,4,1200,4800,Trichy,UPI
10048,2025-08-21,Customer_74,T-Shirt,Fashion,3,700,2100,Trichy,Net Banking
10049,2025-06-01,Customer_56,Headphones,Electronics,2,2000,4000,Chennai,UPI
10050,2025-01-26,Customer_150,Shoes,Fashion,1,1800,1800,Trichy,Cash
10051,2025-02-11,Customer_218,Laptop,Electronics,5,55000,275000,Coimbatore,UPI
10052,2025-12-12,Customer_221,Books,Education,1,500,500,Coimbatore,Net Banking
10053,2025-05-07,Customer_149,Smartphone,Electronics,5,25000,125000,Salem,UPI
10054,2025-08-03,Customer_169,Books,Education,1,500,500,Salem,Card
10055,2025-12-09,Customer_184,Mouse,Accessories,2,800,1600,Madurai,Cash
10056,2025-03-09,Customer_172,Mouse,Accessories,4,800,3200,Erode,Card
10057,2025-02-07,Customer_3,Backpack,Bags,3,1500,4500,Trichy,UPI
10058,2025-04-20,Customer_130,Smartphone,Electronics,5,25000,125000,Madurai,Cash
10059,2025-05-06,Customer_95,Shoes,Fashion,1,1800,1800,Madurai,Cash
10060,2025-12-27,Customer_78,Backpack,Bags,5,1500,7500,Salem,UPI
10061,2025-12-06,Customer_27,Watch,Accessories,3,3000,9000,Coimbatore,Card
10062,2025-10-11,Customer_40,Smartphone,Electronics,1,25000,25000,Madurai,Card
10063,2025-06-25,Customer_53,Books,Education,2,500,1000,Erode,Card
10064,2025-05-09,Customer_232,Watch,Accessories,4,3000,12000,Chennai,UPI
10065,2025-01-23,Customer_1,T-Shirt,Fashion,3,700,2100,Madurai,
10066,2025-08-15,Customer_142,Mouse,Accessories,2,800,1600,Erode,Net Banking
10067,2025-02-27,Customer_20,Watch,Accessories,1,3000,3000,Erode,Cash
10068,2025-07-09,Customer_150,Watch,Accessories,1,3000,3000,Salem,Cash
10069,2025-01-22,Customer_79,T-Shirt,Fashion,2,700,1400,Madurai,UPI
10070,2025-12-16,Customer_64,Shoes,Fashion,2,1800,3600,Erode,UPI
10071,2025-07-28,Customer_250,Shoes,Fashion,5,1800,9000,Salem,Cash
10072,2025-04-01,Customer_226,Keyboard,Accessories,2,1200,2400,Trichy,UPI
10073,2025-07-30,Customer_206,Headphones,Electronics,3,2000,6000,Erode,Cash
10074,2025-12-26,Customer_28,Mouse,Accessories,2,800,1600,Trichy,UPI
10075,2025-04-13,Customer_210,Backpack,Bags,2,1500,3000,Trichy,Card
10076,2025-04-25,Customer_7,Mouse,Accessories,2,800,1600,Erode,Cash
10077,2025-05-23,Customer_222,T-Shirt,Fashion,3,700,2100,Chennai,Card
10078,2025-07-24,Customer_174,Shoes,Fashion,5,1800,9000,Salem,Card
10079,2025-05-14,Customer_46,Laptop,Electronics,1,55000,55000,Salem,Card
10080,2025-11-02,Customer_112,Laptop,Electronics,1,55000,55000,Madurai,Card
10081,2025-09-19,Customer_30,T-Shirt,Fashion,5,700,3500,Trichy,Cash
10082,2025-12-29,Customer_112,Mouse,Accessories,1,800,800,Chennai,Cash
10083,2025-02-05,Customer_243,Shoes,Fashion,4,1800,7200,Erode,Card
10084,2025-12-06,Customer_218,Books,Education,3,500,1500,Chennai,Card
10085,2025-12-08,Customer_105,Watch,Accessories,3,3000,9000,Madurai,Net Banking
10086,2025-03-07,Customer_50,Mouse,Accessories,5,800,4000,Trichy,Net Banking
10087,2025-10-19,Customer_78,Headphones,Electronics,5,2000,10000,Trichy,UPI
10088,2025-04-18,Customer_111,Mouse,Accessories,3,800,2400,Salem,Card
10089,2025-08-15,Customer_173,Backpack,Bags,4,1500,6000,Coimbatore,Net Banking
10090,2025-05-26,Customer_132,Headphones,Electronics,1,2000,2000,Erode,Card
10091,2025-12-11,Customer_80,Smartphone,Electronics,2,25000,50000,Coimbatore,Cash
10092,2025-01-24,Customer_63,Headphones,Electronics,1,2000,2000,Trichy,UPI
10093,2025-11-19,Customer_148,Backpack,Bags,4,1500,6000,Coimbatore,Net Banking
10094,2025-05-05,Customer_38,Backpack,Bags,4,1500,6000,Erode,UPI
10095,2025-04-23,Customer_46,Smartphone,Electronics,4,25000,100000,Erode,Net Banking
10096,2025-05-08,Customer_235,Laptop,Electronics,5,55000,275000,Chennai,Net Banking
10097,2025-12-08,Customer_136,Headphones,Electronics,4,2000,8000,Salem,Card
10098,2025-09-16,Customer_110,Backpack,Bags,5,1500,7500,Salem,Net Banking
10099,2025-08-19,Customer_67,Headphones,Electronics,4,2000,8000,Coimbatore,Card
10100,2025-11-17,Customer_62,Watch,Accessories,4,3000,12000,Madurai,Net Banking
10101,2025-05-01,Customer_70,Smartphone,Electronics,3,25000,75000,Madurai,Card
10102,2025-03-12,Customer_39,Watch,Accessories,1,3000,3000,Coimbatore,Net Banking
10103,2025-02-02,Customer_107,Headphones,Electronics,2,2000,4000,Trichy,Card
10104,2025-08-01,Customer_16,Watch,Accessories,4,3000,12000,Coimbatore,Net Banking
10105,2025-12-23,Customer_6,T-Shirt,Fashion,5,700,3500,Salem,Net Banking
10106,2025-06-30,Customer_77,Backpack,Bags,1,1500,1500,Trichy,Net Banking
10107,2025-11-05,Customer_230,Watch,Accessories,5,3000,15000,Coimbatore,Net Banking
10108,2025-08-12,Customer_125,Keyboard,Accessories,3,1200,3600,Chennai,Net Banking
10109,2025-03-26,Customer_216,Shoes,Fashion,4,1800,7200,Trichy,Cash
10110,2025-01-14,Customer_233,Books,Education,5,500,2500,Trichy,UPI
10111,2025-03-11,Customer_222,Smartphone,Electronics,4,25000,100000,Trichy,Cash
10112,2025-07-14,Customer_84,Laptop,Electronics,3,55000,165000,Coimbatore,Net Banking
10113,2025-07-14,Customer_72,Shoes,Fashion,3,1800,5400,Trichy,Card
10114,2025-01-10,Customer_192,Smartphone,Electronics,4,25000,100000,Salem,UPI
10115,2025-11-29,Customer_18,Shoes,Fashion,2,1800,3600,Erode,UPI
10116,2025-04-13,Customer_215,Laptop,Electronics,2,55000,110000,Chennai,Cash
10117,2025-08-31,Customer_172,Keyboard,Accessories,2,1200,2400,Chennai,Cash
10118,2025-07-08,Customer_43,Backpack,Bags,3,1500,4500,Salem,UPI
10119,2025-02-25,Customer_149,Headphones,Electronics,3,2000,6000,Chennai,Card
10120,2025-07-23,Customer_242,Books,Education,4,500,2000,Erode,Cash
10121,2025-12-20,Customer_213,Smartphone,Electronics,5,25000,125000,Erode,Cash
10122,2025-12-17,Customer_154,Smartphone,Electronics,3,25000,75000,Chennai,UPI
10123,2025-08-08,Customer_170,Shoes,Fashion,5,1800,9000,Madurai,UPI
10124,2025-01-07,Customer_218,Watch,Accessories,3,3000,9000,Trichy,Net Banking
10125,2025-07-05,Customer_163,Smartphone,Electronics,4,25000,100000,Trichy,Cash
10126,2025-09-25,Customer_248,T-Shirt,Fashion,2,700,1400,Erode,Card
10127,2025-09-05,Customer_120,Books,Education,5,500,2500,Trichy,Card
10128,2025-02-14,Customer_72,Shoes,Fashion,2,1800,3600,Trichy,Cash
10129,2025-11-09,Customer_172,Backpack,Bags,5,1500,7500,Trichy,Card
10130,2025-06-16,Customer_47,Laptop,Electronics,4,55000,220000,Trichy,Cash
10131,2025-06-24,Customer_72,Shoes,Fashion,3,1800,5400,Salem,Card
10132,2025-09-22,Customer_243,Watch,Accessories,1,3000,3000,Coimbatore,UPI
10133,2025-09-08,Customer_143,Keyboard,Accessories,4,1200,4800,Coimbatore,Net Banking
10134,2025-01-09,Customer_24,Backpack,Bags,4,1500,6000,Madurai,Cash
10135,2025-06-06,Customer_170,T-Shirt,Fashion,2,700,1400,Salem,Card
10136,2025-09-29,Customer_89,Backpack,Bags,5,1500,7500,Trichy,Card
10137,2025-05-19,Customer_79,Shoes,Fashion,4,1800,7200,Madurai,Cash
10138,2025-06-11,Customer_31,Smartphone,Electronics,2,25000,50000,Erode,Cash
10139,2025-09-05,Customer_71,Keyboard,Accessories,2,1200,2400,Erode,Card
10140,2025-06-01,Customer_59,Smartphone,Electronics,2,25000,50000,Madurai,Cash
10141,2025-12-29,Customer_137,Mouse,Accessories,1,800,800,Coimbatore,Card
10142,2025-10-11,Customer_75,Laptop,Electronics,1,55000,55000,Erode,Cash
10143,2025-01-07,Customer_147,Backpack,Bags,1,1500,1500,Madurai,Net Banking
10144,2025-06-24,Customer_48,Backpack,Bags,4,1500,6000,Chennai,Card
10145,2025-02-03,Customer_103,Backpack,Bags,1,1500,1500,Trichy,UPI
10146,2025-03-19,Customer_39,Books,Education,1,500,500,Salem,Card
10147,2025-03-02,Customer_143,Smartphone,Electronics,2,25000,50000,Trichy,Cash
10148,2025-08-19,Customer_233,Watch,Accessories,4,3000,12000,Trichy,Card
10149,2025-06-06,Customer_146,Books,Education,4,500,2000,Salem,UPI
10150,2025-04-17,Customer_161,Books,Education,1,500,500,Coimbatore,Card
10151,2025-05-03,Customer_45,Smartphone,Electronics,2,25000,50000,Salem,UPI
10152,2025-07-29,Customer_116,Headphones,Electronics,1,2000,2000,Erode,Net Banking
10153,2025-04-29,Customer_74,Mouse,Accessories,1,800,800,Erode,Card
10154,2025-12-18,Customer_60,Backpack,Bags,1,1500,1500,Madurai,Cash
10155,2025-10-06,Customer_58,T-Shirt,Fashion,1,700,700,Erode,Cash
10156,2025-02-06,Customer_16,Mouse,Accessories,2,800,1600,Coimbatore,Card
10157,2025-05-28,Customer_113,Books,Education,5,500,2500,Chennai,Net Banking
10158,2025-05-20,Customer_129,Mouse,Accessories,4,800,3200,Salem,Net Banking
10159,2025-11-03,Customer_11,Backpack,Bags,1,1500,1500,Trichy,Card
10160,2025-01-14,Customer_24,Books,Education,3,500,1500,Coimbatore,UPI
10161,2025-01-21,Customer_196,Mouse,Accessories,5,800,4000,Coimbatore,Net Banking
10162,2025-05-23,Customer_47,Watch,Accessories,4,3000,12000,Salem,Net Banking
10163,2025-08-29,Customer_90,Backpack,Bags,1,1500,1500,Trichy,Card
10164,2025-03-24,Customer_85,Shoes,Fashion,1,1800,1800,Trichy,Net Banking
10165,2025-10-09,Customer_10,Mouse,Accessories,4,800,3200,Trichy,UPI
10166,2025-06-15,Customer_30,Shoes,Fashion,3,1800,5400,Trichy,UPI
10167,2025-07-31,Customer_14,Watch,Accessories,4,3000,12000,Coimbatore,Card
10168,2025-11-17,Customer_114,Books,Education,4,500,2000,Chennai,Cash
10169,2025-03-09,Customer_238,Mouse,Accessories,5,800,4000,Madurai,Net Banking
10170,2025-01-15,Customer_250,Backpack,Bags,1,1500,1500,Erode,Cash
10171,2025-10-10,Customer_4,Headphones,Electronics,3,2000,6000,Salem,Net Banking
10172,2025-02-28,Customer_119,Smartphone,Electronics,2,25000,50000,Chennai,Cash
10173,2025-09-18,Customer_181,Backpack,Bags,3,1500,4500,Madurai,Net Banking
10174,2025-05-05,Customer_117,Backpack,Bags,4,1500,6000,Salem,Cash
10175,2025-11-03,Customer_131,T-Shirt,Fashion,2,700,1400,Erode,Cash
10176,2025-08-01,Customer_88,Smartphone,Electronics,3,25000,75000,Salem,Card
10177,2025-06-02,Customer_215,Laptop,Electronics,3,55000,165000,Salem,Net Banking
10178,2025-10-03,Customer_124,Headphones,Electronics,4,2000,8000,Madurai,Card
10179,2025-07-13,Customer_117,Watch,Accessories,5,3000,15000,Madurai,Cash
10180,2025-07-16,Customer_60,Keyboard,Accessories,5,1200,6000,Trichy,UPI
10181,2025-12-28,Customer_234,Shoes,Fashion,4,1800,7200,Trichy,Net Banking
10182,2025-01-19,Customer_33,Headphones,Electronics,4,2000,8000,Salem,Card
10183,2025-02-21,Customer_135,Smartphone,Electronics,4,25000,100000,Trichy,UPI
10184,2025-12-02,Customer_249,Headphones,Electronics,4,2000,8000,Coimbatore,UPI
10185,2025-06-23,Customer_160,Backpack,Bags,3,1500,4500,Erode,Net Banking
10186,2025-12-12,Customer_220,Smartphone,Electronics,3,25000,75000,Salem,Net Banking
10187,2025-10-05,Customer_10,Shoes,Fashion,4,1800,7200,Salem,UPI
10188,2025-04-27,Customer_192,Keyboard,Accessories,3,1200,3600,Chennai,Net Banking
10189,2025-08-16,Customer_43,Smartphone,Electronics,1,25000,25000,Erode,Card
10190,2025-06-16,Customer_204,Laptop,Electronics,1,55000,55000,,Card
10191,2025-08-09,Customer_38,Shoes,Fashion,3,1800,5400,Coimbatore,Net Banking
10192,2025-03-29,Customer_45,Books,Education,2,500,1000,Chennai,Net Banking
10193,2025-09-12,Customer_234,Books,Education,2,500,1000,Salem,Cash
10194,2025-11-23,Customer_66,Keyboard,Accessories,4,1200,4800,Trichy,Card
10195,2025-05-28,Customer_174,Laptop,Electronics,4,55000,220000,Salem,
10196,2025-06-26,Customer_151,Smartphone,Electronics,4,25000,100000,Madurai,Net Banking
10197,2025-06-04,Customer_51,Mouse,Accessories,4,800,3200,Trichy,Net Banking
10198,2025-07-15,Customer_147,Smartphone,Electronics,2,25000,50000,Madurai,Card
10199,2025-12-04,Customer_102,Mouse,Accessories,1,800,800,Madurai,UPI
10200,2025-11-07,Customer_191,Books,Education,1,500,500,Trichy,Card
10201,2025-06-30,Customer_57,Keyboard,Accessories,5,1200,6000,Erode,Cash
10202,2025-12-14,Customer_194,Books,Education,3,500,1500,Erode,Cash
10203,2025-06-08,Customer_202,Smartphone,Electronics,1,25000,25000,Trichy,UPI
10204,2025-03-09,Customer_24,Books,Education,3,500,1500,Madurai,Card
10205,2025-04-13,Customer_34,T-Shirt,Fashion,2,700,1400,Salem,Card
10206,2025-05-20,Customer_213,Watch,Accessories,5,3000,15000,Coimbatore,Card
10207,2025-06-23,Customer_206,Backpack,Bags,3,1500,4500,Chennai,Net Banking
10208,2025-04-26,Customer_221,Smartphone,Electronics,2,25000,50000,Erode,Net Banking
10209,2025-02-16,Customer_203,Watch,Accessories,3,3000,9000,Trichy,UPI
10210,2025-03-05,Customer_117,Mouse,Accessories,5,800,4000,Madurai,Card
10211,2025-11-23,Customer_241,Books,Education,4,500,2000,Madurai,UPI
10212,2025-01-13,Customer_159,Keyboard,Accessories,4,1200,4800,Salem,Card
10213,2025-11-28,Customer_17,Books,Education,2,500,1000,Erode,Net Banking
10214,2025-03-01,Customer_36,Mouse,Accessories,4,800,3200,Chennai,UPI
10215,2025-03-01,Customer_25,Mouse,Accessories,4,800,3200,Coimbatore,Cash
10216,2025-07-09,Customer_172,T-Shirt,Fashion,4,700,2800,Erode,Net Banking
10217,2025-08-01,Customer_168,Books,Education,2,500,1000,Chennai,Net Banking
10218,2025-05-24,Customer_9,Books,Education,4,500,2000,Erode,Card
10219,2025-08-16,Customer_244,Keyboard,Accessories,4,1200,4800,Coimbatore,Card
10220,2025-10-06,Customer_231,Smartphone,Electronics,3,25000,75000,Erode,Card
10221,2025-05-22,Customer_49,Laptop,Electronics,4,55000,220000,Chennai,Net Banking
10222,2025-11-25,Customer_164,Smartphone,Electronics,2,25000,50000,Salem,UPI
10223,2025-05-05,Customer_33,Laptop,Electronics,3,55000,165000,Salem,Cash
10224,2025-04-17,Customer_151,Smartphone,Electronics,5,25000,125000,Coimbatore,Cash
10225,2025-11-02,Customer_1,Shoes,Fashion,2,1800,3600,Madurai,Cash
10226,2025-05-09,Customer_205,Headphones,Electronics,5,2000,10000,Coimbatore,UPI
10227,2025-01-08,Customer_92,Laptop,Electronics,2,55000,110000,Coimbatore,Card
10228,2025-05-16,Customer_14,Laptop,Electronics,2,55000,110000,Coimbatore,Net Banking
10229,2025-02-02,Customer_122,Watch,Accessories,1,3000,3000,Trichy,Card
10230,2025-02-25,Customer_116,Watch,Accessories,5,3000,15000,Salem,Cash
10231,2025-12-04,Customer_134,Books,Education,1,500,500,Madurai,Net Banking
10232,2025-09-03,Customer_217,Laptop,Electronics,1,55000,55000,Trichy,Net Banking
10233,2025-12-31,Customer_233,Smartphone,Electronics,4,25000,100000,Trichy,UPI
10234,2025-11-08,Customer_38,Smartphone,Electronics,3,25000,75000,Chennai,Cash
10235,2025-11-21,Customer_150,Mouse,Accessories,5,800,4000,Salem,Card
10236,2025-09-29,Customer_76,T-Shirt,Fashion,5,700,3500,Trichy,Net Banking
10237,2025-12-02,Customer_167,Smartphone,Electronics,1,25000,25000,Salem,Cash
10238,2025-04-27,Customer_106,T-Shirt,Fashion,4,700,2800,Madurai,Net Banking
10239,2025-02-18,Customer_81,T-Shirt,Fashion,4,700,2800,Trichy,Card
10240,2025-03-20,Customer_176,Mouse,Accessories,3,800,2400,Trichy,UPI
10241,2025-02-17,Customer_111,Smartphone,Electronics,1,25000,25000,Chennai,Card
10242,2025-01-31,Customer_151,Headphones,Electronics,5,2000,10000,Salem,Card
10243,2025-07-01,Customer_224,Smartphone,Electronics,4,25000,100000,Erode,Net Banking
10244,2025-11-04,Customer_80,Laptop,Electronics,3,55000,165000,Madurai,UPI
10245,2025-04-19,Customer_40,Books,Education,5,500,2500,Erode,
10246,2025-06-29,Customer_217,Keyboard,Accessories,1,1200,1200,Salem,Card
10247,2025-10-21,Customer_58,Smartphone,Electronics,3,25000,75000,Trichy,UPI
10248,2025-01-15,Customer_47,Books,Education,3,500,1500,Madurai,Card
10249,2025-01-04,Customer_47,Shoes,Fashion,3,1800,5400,Coimbatore,Net Banking
10250,2025-11-21,Customer_249,Smartphone,Electronics,2,25000,50000,Chennai,UPI
10251,2025-07-12,Customer_108,Watch,Accessories,2,3000,6000,Trichy,Card
10252,2025-06-09,Customer_185,Headphones,Electronics,3,2000,6000,Madurai,UPI
10253,2025-03-22,Customer_194,Laptop,Electronics,2,55000,110000,Salem,UPI
10254,2025-08-15,Customer_170,Smartphone,Electronics,3,25000,75000,Trichy,Net Banking
10255,2025-08-01,Customer_70,Books,Education,4,500,2000,Coimbatore,UPI
10256,2025-02-26,Customer_73,Shoes,Fashion,4,1800,7200,Erode,Net Banking
10257,2025-01-24,Customer_57,Watch,Accessories,3,3000,9000,Trichy,UPI
10258,2025-06-04,Customer_243,Laptop,Electronics,2,55000,110000,Coimbatore,Cash
10259,2025-06-17,Customer_31,Mouse,Accessories,3,800,2400,Chennai,Net Banking
10260,2025-03-08,Customer_98,T-Shirt,Fashion,2,700,1400,Salem,Cash
10261,2025-12-09,Customer_207,Watch,Accessories,5,3000,15000,Madurai,UPI
10262,2025-08-12,Customer_5,T-Shirt,Fashion,1,700,700,Trichy,UPI
10263,2025-08-08,Customer_147,Shoes,Fashion,5,1800,9000,Trichy,Net Banking
10264,2025-07-27,Customer_6,Mouse,Accessories,1,800,800,Madurai,Cash
10265,2025-12-20,Customer_236,Books,Education,4,500,2000,Madurai,UPI
10266,2025-05-05,Customer_112,T-Shirt,Fashion,1,700,700,Salem,Net Banking
10267,2025-07-22,Customer_223,Watch,Accessories,1,3000,3000,Madurai,Card
10268,2025-03-28,Customer_20,Keyboard,Accessories,3,1200,3600,Salem,UPI
10269,2025-04-10,Customer_232,Watch,Accessories,5,3000,15000,Madurai,Card
10270,2025-02-22,Customer_38,Headphones,Electronics,2,2000,4000,,Cash
10271,2025-03-20,Customer_195,Headphones,Electronics,5,2000,10000,Erode,UPI
10272,2025-08-26,Customer_194,Headphones,Electronics,4,2000,8000,Salem,Net Banking
10273,2025-06-15,Customer_222,Books,Education,5,500,2500,Erode,Card
10274,2025-02-04,Customer_121,Headphones,Electronics,4,2000,8000,Trichy,Card
10275,2025-01-29,Customer_91,Mouse,Accessories,5,800,4000,Salem,UPI
10276,2025-08-20,Customer_10,Mouse,Accessories,4,800,3200,Chennai,Card
10277,2025-11-27,Customer_222,Mouse,Accessories,1,800,800,Chennai,Net Banking
10278,2025-10-11,Customer_245,Backpack,Bags,5,1500,7500,Erode,UPI
10279,2025-11-30,Customer_49,Backpack,Bags,5,1500,7500,Madurai,Net Banking
10280,2025-02-01,Customer_116,Watch,Accessories,2,3000,6000,Chennai,Card
10281,2025-11-27,Customer_45,Smartphone,Electronics,5,25000,125000,Chennai,Cash
10282,2025-09-26,Customer_134,Backpack,Bags,4,1500,6000,Salem,Cash
10283,2025-05-25,Customer_100,Shoes,Fashion,3,1800,5400,Trichy,Card
10284,2025-11-20,Customer_166,Books,Education,1,500,500,Madurai,UPI
10285,2025-10-13,Customer_174,Shoes,Fashion,1,1800,1800,Trichy,Card
10286,2025-03-18,Customer_86,Mouse,Accessories,5,800,4000,Chennai,Cash
10287,2025-12-02,Customer_179,Shoes,Fashion,3,1800,5400,Erode,Net Banking
10288,2025-12-29,Customer_241,Headphones,Electronics,5,2000,10000,Chennai,Card
10289,2025-11-26,Customer_203,Watch,Accessories,4,3000,12000,Madurai,Cash
10290,2025-11-27,Customer_172,Watch,Accessories,1,3000,3000,Trichy,Card
10291,2025-06-08,Customer_47,Laptop,Electronics,3,55000,165000,Coimbatore,Card
10292,2025-04-26,Customer_36,Backpack,Bags,2,1500,3000,Coimbatore,UPI
10293,2025-09-17,Customer_198,Mouse,Accessories,1,800,800,Salem,UPI
10294,2025-03-09,Customer_153,Shoes,Fashion,5,1800,9000,Trichy,Cash
10295,2025-12-21,Customer_198,Headphones,Electronics,2,2000,4000,Salem,Cash
10296,2025-07-30,Customer_94,Backpack,Bags,1,1500,1500,Erode,Cash
10297,2025-05-26,Customer_193,Backpack,Bags,5,1500,7500,Erode,Net Banking
10298,2025-05-03,Customer_80,Keyboard,Accessories,5,1200,6000,Trichy,Cash
10299,2025-08-14,Customer_119,Shoes,Fashion,5,1800,9000,Madurai,Net Banking
10300,2025-08-03,Customer_248,Watch,Accessories,5,3000,15000,Coimbatore,Cash
10301,2025-05-09,Customer_14,Books,Education,2,500,1000,Erode,Net Banking
10302,2025-02-22,Customer_183,Shoes,Fashion,5,1800,9000,Salem,UPI
10303,2025-03-24,Customer_70,Mouse,Accessories,1,800,800,,Cash
10304,2025-04-24,Customer_210,T-Shirt,Fashion,1,700,700,Trichy,Card
10305,2025-01-28,Customer_102,Laptop,Electronics,4,55000,220000,Salem,Card
10306,2025-02-11,Customer_96,Keyboard,Accessories,4,1200,4800,Coimbatore,UPI
10307,2025-11-29,Customer_86,Shoes,Fashion,1,1800,1800,Coimbatore,Cash
10308,2025-08-30,Customer_179,Laptop,Electronics,3,55000,165000,Coimbatore,Net Banking
10309,2025-01-03,Customer_232,Backpack,Bags,5,1500,7500,Chennai,UPI
10310,2025-03-18,Customer_141,Mouse,Accessories,2,800,1600,Erode,Net Banking
10311,2025-05-02,Customer_78,Smartphone,Electronics,3,25000,75000,Chennai,UPI
10312,2025-11-24,Customer_204,Keyboard,Accessories,4,1200,4800,Salem,Net Banking
10313,2025-09-13,Customer_153,Smartphone,Electronics,1,25000,25000,Salem,UPI
10314,2025-05-04,Customer_184,Watch,Accessories,5,3000,15000,Coimbatore,Card
10315,2025-11-11,Customer_91,T-Shirt,Fashion,1,700,700,Coimbatore,Net Banking
10316,2025-09-26,Customer_250,Headphones,Electronics,1,2000,2000,Madurai,UPI
10317,2025-09-17,Customer_202,Watch,Accessories,5,3000,15000,Salem,UPI
10318,2025-01-23,Customer_163,T-Shirt,Fashion,4,700,2800,Trichy,Card
10319,2025-07-02,Customer_202,Mouse,Accessories,1,800,800,Chennai,Card
10320,2025-10-25,Customer_189,Keyboard,Accessories,1,1200,1200,Madurai,Cash
10321,2025-10-07,Customer_87,Laptop,Electronics,3,55000,165000,Erode,Cash
10322,2025-11-20,Customer_47,Backpack,Bags,4,1500,6000,Coimbatore,UPI
10323,2025-05-31,Customer_52,Backpack,Bags,1,1500,1500,Chennai,Cash
10324,2025-06-08,Customer_132,Laptop,Electronics,3,55000,165000,Trichy,Net Banking
10325,2025-11-28,Customer_49,Mouse,Accessories,1,800,800,Madurai,Card
10326,2025-05-20,Customer_32,Laptop,Electronics,3,55000,165000,Madurai,Net Banking
10327,2025-07-17,Customer_87,T-Shirt,Fashion,4,700,2800,Coimbatore,Net Banking
